root_id,supervoxel_id,cell_type,hemibrain_type,side,flow,super_class,cell_class,cell_sub_class,fbbt_id,source_type
720575940625585508,80997998029093889,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940626342174,81068435492708420,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940629792732,80998066748551395,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940631603281,80857191820722521,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940631704716,80997998029088491,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940640541091,80927629284906951,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940648633988,80998066748553310,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940660217729,81068435492727976,lLN1_bc,"lLN1_b,lLN1_c",right,intrinsic,central,ALLN,,,local
720575940605758142,81138735517428407,lLN2F_a,lLN2F_a,right,intrinsic,central,ALLN,,FBbt_00049812,local
720575940640803200,81490785396413563,lLN2F_a,lLN2F_a,right,intrinsic,central,ALLN,,FBbt_00049812,local
720575940609282825,81490854115719545,lLN2F_b,lLN2F_b,right,intrinsic,central,ALLN,,FBbt_00049812,local
720575940634545890,81420347932538686,lLN2F_b,lLN2F_b,right,intrinsic,central,ALLN,,FBbt_00049812,local
720575940621500865,81490647957786834,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940624330281,81490510518698165,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940625977802,81490579238272905,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940626378242,81068435492739418,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940632505359,81068366773247489,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940634303132,81068366773256544,lLN2P_a,lLN2P_a,right,intrinsic,central,ALLN,,,local
720575940605883569,81068366773254857,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940608345778,80997929309613867,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940623650823,81138804236901353,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940623955637,81279404285917306,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940626115134,80997998029089519,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940660217985,81279198194386146,lLN2P_b,lLN2P_b,right,intrinsic,central,ALLN,,,local
720575940615513086,81138804236909933,lLN2P_c,lLN2P_c,right,intrinsic,central,ALLN,,,local
720575940616486230,81068366773259354,lLN2P_c,lLN2P_c,right,intrinsic,central,ALLN,,,local
720575940634949311,81138804236907484,lLN2P_c,lLN2P_c,right,intrinsic,central,ALLN,,,local
720575940635249332,80997929309615048,lLN2P_c,lLN2P_c,right,intrinsic,central,ALLN,,,local
720575940640955637,81490304360329786,lLN2P_c,lLN2P_c,right,intrinsic,central,ALLN,,,local
720575940630407388,81349498152332614,lLN2T_b,lLN2T_b,right,intrinsic,central,ALLN,,,local
720575940633294796,81490647957364110,lLN2T_b,lLN2T_b,right,intrinsic,central,ALLN,,,local
720575940613804259,80998066748550319,lLN2T_c,lLN2T_c,right,intrinsic,central,ALLN,,,local
720575940646576436,81068366773241863,lLN2T_c,lLN2T_c,right,intrinsic,central,ALLN,,,local
720575940631907159,80927698004391851,lLN2T_d,lLN2T_d,right,intrinsic,central,ALLN,,,local
720575940632835688,80927698004389151,lLN2T_d,lLN2T_d,right,intrinsic,central,ALLN,,,local
720575940621551854,81560879263037054,lLN2T_e,lLN2T_e,right,intrinsic,central,ALLN,,,local
720575940623146701,80927698004377476,lLN2T_e,lLN2T_e,right,intrinsic,central,ALLN,,,local
720575940628420264,80646429185716212,lLN2X02,,right,intrinsic,central,ALLN,,,local
720575940628822248,80576678849521902,lLN2X02,,right,intrinsic,central,ALLN,,,local
720575940633741229,80505760350044839,lLN2X02,,right,intrinsic,central,ALLN,,,local
720575940606722249,81701891628984642,lLN2X03,lLN2T_a,right,intrinsic,central,ALLN,,,local
720575940619059102,81420760249554378,lLN2X03,lLN2T_a,right,intrinsic,central,ALLN,,,local
720575940637623780,81420897688547166,lLN2X03,lLN2T_a,right,intrinsic,central,ALLN,,,local
720575940616758322,81561222927056457,lLN2X04,,right,intrinsic,central,ALLN,,,local
720575940637136752,81561429018515252,lLN2X04,,right,intrinsic,central,ALLN,,,local
720575940616197819,80927698004373657,lLN2X05,lLN2T_a,right,intrinsic,central,ALLN,,,local
720575940617299131,80997929309610208,lLN2X05,lLN2T_a,right,intrinsic,central,ALLN,,,local
720575940622457443,81138804236907590,lLN2X06,lLN2R_a,right,intrinsic,central,ALLN,,,local
720575940633772452,81068366773260727,lLN2X06,lLN2R_a,right,intrinsic,central,ALLN,,,local
720575940640415859,81068366773246732,lLN2X07,lLN2R_a,right,intrinsic,central,ALLN,,,local
720575940651758838,81068366773245963,lLN2X07,lLN2R_a,right,intrinsic,central,ALLN,,,local
720575940640986075,81068298053775107,lLN2X09,,right,intrinsic,central,ALLN,,,local
720575940619078091,81490579238084552,lLN2X10,,right,intrinsic,central,ALLN,,,local
720575940625584484,81068366773261981,lLN2X10,,right,intrinsic,central,ALLN,,,local
720575940624435128,80927629284902186,lLN2X11,,right,intrinsic,central,ALLN,,,local
720575940628059978,80927629284915113,lLN2X11,,right,intrinsic,central,ALLN,,,local
720575940612637554,81138735517439517,lLN2X12,,right,intrinsic,central,ALLN,,,local
720575940621585279,81068366773252191,lLN2X12,,right,intrinsic,central,ALLN,,,local
720575940622650879,81068366773245759,lLN2X12,,right,intrinsic,central,ALLN,,,local
720575940624832743,81068366773261896,lLN2X12,,right,intrinsic,central,ALLN,,,local
720575940630225403,81419935615936956,lLN2X12,,right,intrinsic,central,ALLN,,,local
720575940627768409,81420347865448641,lLN8,lLN8,right,intrinsic,central,ALLN,,FBbt_20003742,local
720575940642343565,81138735517430946,lLN8,lLN8,right,intrinsic,central,ALLN,,FBbt_20003742,local
720575940612042981,81560879195389494,lLN9,lLN9,right,intrinsic,central,ALLN,,FBbt_20003743,local
720575940621416572,81561154073238158,"lLN9,lLN17a","lLN9,lLN17a",right,intrinsic,central,ALLN,,FBbt_20003743,local
720575940622626303,81490579170626648,"lLN9,lLN17a","lLN9,lLN17a",right,intrinsic,central,ALLN,,FBbt_20003743,local
720575940635847269,81560947981956083,"lLN9,lLN17a","lLN9,lLN17a",right,intrinsic,central,ALLN,,FBbt_20003743,local
720575940614956072,81139422845905777,v2LN30,v2LN30,right,intrinsic,central,ALLN,,FBbt_20003756,local
720575940621086996,78957716898791098,v2LN31,v2LN31,right,intrinsic,central,ALLN,,FBbt_20003757,local
720575940623289578,81139491565226900,v2LN32,v2LN32,right,intrinsic,central,ALLN,,FBbt_20003758,local
720575940621441494,81139491565214659,v2LN33,v2LN33,right,intrinsic,central,ALLN,,FBbt_20003759,local
720575940634809455,81139491565217060,v2LN33,v2LN33,right,intrinsic,central,ALLN,,FBbt_20003759,local
720575940627405052,81139491565214640,v2LN34E,v2LN34E,right,intrinsic,central,ALLN,,FBbt_20003764,local
720575940634127456,81139491565214156,v2LN34E,v2LN34E,right,intrinsic,central,ALLN,,FBbt_20003764,local
720575940635180956,80294104495550205,v2LN34E,v2LN34E,right,intrinsic,central,ALLN,,FBbt_20003764,local
720575940619061662,81069328845549366,v2LN36,v2LN36,right,intrinsic,central,ALLN,,FBbt_20003767,local
720575940616855225,78957579526521632,v2LN38,v2LN38,right,intrinsic,central,ALLN,,FBbt_20003769,local
720575940633831264,80716797997407077,v2LN38,v2LN38,right,intrinsic,central,ALLN,,FBbt_20003769,local
720575940630916650,81139422845903329,v2LN39a,,right,intrinsic,central,ALLN,,,local
720575940638022515,81139491565225172,v2LN39a,,right,intrinsic,central,ALLN,,,local
720575940626051367,81139422845770410,v2LN3A1_a,v2LN3A,right,intrinsic,central,ALLN,,,local
720575940609890315,81069122821051888,v2LN3A1_b,v2LN3A,right,intrinsic,central,ALLN,,,local
720575940618458513,81069122821043311,v2LN3A1_b,v2LN3A,right,intrinsic,central,ALLN,,FBbt_20003754,local
720575940624084429,81139491565212909,v2LN3A1_b,v2LN3A,right,intrinsic,central,ALLN,,,local
720575940624180479,79168410814137527,v2LN3A1_b,v2LN3A,right,intrinsic,central,ALLN,,,local
720575940617441752,81139491565229512,v2LN4,v2LN4,right,intrinsic,central,ALLN,,FBbt_00047708,local
720575940618021755,79027810831870886,v2LN4,v2LN4,right,intrinsic,central,ALLN,,FBbt_00047708,local
720575940626074378,81139422845910839,v2LN4,v2LN4,right,intrinsic,central,ALLN,,FBbt_00047708,local
720575940614757974,81139491565224970,v2LN40_2,,right,intrinsic,central,ALLN,,,local
720575940614774434,81139491565221072,v2LN40_2,,right,intrinsic,central,ALLN,,,local
720575940642015477,80716454265479335,v2LN41a,v2LN41,right,intrinsic,central,ALLN,,FBbt_20003773,local
