canonical_glomerulus,receptor_consensus,receptor_benton_2025,receptor_potter_task_2022,receptor_odour_scenes,receptor_door,sensillum_consensus,sensory_organ_consensus,sensillum_benton_2025,sensory_organ_benton_2025,sensillum_potter_task_2022,sensillum_odour_scenes,sensillum_door,sensory_organ_door,neuron_name_benton_2025,essential_coreceptor_benton_2025,co_receptor_door,orco_gal4_grabe_2015,orco_t2a_qf2,ir8a_t2a_qf2,ir76b_t2a_qf2,ir25a_t2a_qf2,key_agonists_benton_2025,sensory_scene_benton_2025,key_ligand,odour_scene,valence,fbbt_id,vfb_name,vfb_synonyms,projection_neuron_lines,projection_neuron_line_source,gh146_gal4,gh146_pn_female,gh146_pn_male,chat_gal4,chat_soma_count,chat_adpn,chat_lpn,chat_vpn,sensory_neuron_lines,present_grabe_2015,present_hemibrain,present_flywire,present_door_map,present_door_mappings,present_potter_task_2022,present_benton_2025,present_bates_schlegel_2020
VC3,Or35a; OR35a,Or35a; Ir76a,Or35a,OR35a,Or35a,Ac3B; ac3,antenna,ac3I; ac3II,antenna,Ac3B,ac3,ac3,antenna,ac3IB; ac3IIB,"Orco; Ir76b, Ir25a","Orco, Ir76b",positive,Yes,Yes,Yes,Yes,"alcohols (e.g. 1-hexanol, 1-pentanol) (Or35a), phenethylamine (Ir76a)",dangerous/plant_matter,1-hexanol; green leaf volatiles,dangerous; plant_matter,aversive,FBbt_00003953,antennal lobe glomerulus VC3,"""antennal glomerulus VC3"" EXACT [] | ""antennal lobe glomerulus VC3 lateral compartment"" EXACT [FlyBase:FBrf0107836] | ""antennal lobe glomerulus VC3l"" RELATED [FlyBase:FBrf0249560]",,,negative,,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,alias:VC3l
VC4,Or67c,Or67c,Or67c,Or67c,Or67c,Ab7B; ab7,antenna,ab7,antenna,Ab7B,ab7B,ab7,antenna,ab7B,Orco,Orco,positive,Yes,No,Yes,Yes,"ethyl lactate, alcohols (weak)",alcoholic_fermentation,ethyl lactate,alcoholic_fermentation,unclear,FBbt_00007366,antennal lobe glomerulus VC4,"""antennal glomerulus VC4"" EXACT []",,,negative,,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VC5,Ir41a,Ir41a,Ir41a,Ir41a,Ir41a,Ac2,antenna,ac2,antenna,Ac2,ac2,ac2,antenna,,"Ir76b, Ir25a",Ir76b,negative,No,Yes,Yes,Yes,"polyamines (e.g. putrescine, spermidine)",decaying_fruit,polyamines,decaying_fruit,unclear,FBbt_00007104,antennal lobe glomerulus VC5,"""antennal lobe glomerulus VC3 medial compartment"" EXACT [] | ""antennal lobe glomerulus VC3m"" EXACT [FlyBase:FBrf0249560]",,,negative,,,,,,,,Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VL1,Ir75d; Ir75d (co Ir25a),Ir75d,Ir75d,Ir75d (co Ir25a),Ir75d,"Ac1, Ac2, Ac4; ac1B/2B/4B",antenna,ac1; ac2; ac4,antenna,"Ac1, Ac2, Ac4",ac1B/2B/4B,"ac1, ac2, ac4",antenna,,"Ir76b, Ir25a",Ir25a,negative,Yes,Yes,Yes,Yes,pyrrolidine,decaying_fruit,pyrrolidine,decaying_fruit,unclear,FBbt_00003954,antennal lobe glomerulus VL1,"""antennal glomerulus VL1"" EXACT []",,,negative,,,,,,,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VL2a,Ir84a; Ir84a (co Ir8a),Ir84a/(Or35a),Ir84a,Ir84a (co Ir8a),Ir84a,Ac4; ac4C,antenna,ac4,antenna,Ac4,ac4C,ac4,antenna,ac4A,Ir8a,Ir8a,negative,Yes,Yes,Yes,Yes,"phenylacetic acid, phenylacetaldehyde",decaying_fruit/plant_matter,polyamines; phenylacetaldehyde,decaying_fruit; plant_matter,unclear,FBbt_00007106,antennal lobe glomerulus VL2a,"""antennal lobe glomerulus VL2 anterior compartment"" EXACT [] | ""VL2a"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0)^c,2 (1)^c,positive,1,1 (0.8),,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VL2p,Ir31a; Ir31a (co Ir8a),Ir31a,Ir31a,Ir31a (co Ir8a),Ir31a,Ac1; ac1A,antenna,ac1,antenna,Ac1,ac1A,ac1,antenna,,Ir8a,Ir8a,negative,No,Yes,Yes,Yes,2-oxopentanoic acid (weak),decaying_fruit/animal_matter,polyamines; 2-oxopentanoic acid,decaying_fruit; animal_matter,unclear,FBbt_00007107,antennal lobe glomerulus VL2p,"""antennal lobe glomerulus VL2 posterior compartment"" EXACT [] | ""VL2p"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0),1 (0.5),positive,1,1 (0.4),,,Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM1,Ir92a; Ir92a (co Ir25a+Ir76b),Ir92a,Ir92a,Ir92a (co Ir25a+Ir76b),Ir92a,Ac1; ac1C,antenna,ac1,antenna,Ac1,ac1C,ac1,antenna,,"Ir76b, Ir25a","Ir25a, Ir76b",negative,No,Yes,Yes,Yes,"amines (e.g. trimethyl amine, dimethylamine, ammonia)",decaying_fruit,ammonia,decaying_fruit,appetitive,FBbt_00003956,antennal lobe glomerulus VM1,"""antennal glomerulus VM1"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.4),1.5 (1),positive,2,,2 (0.7),,Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM2,Or43b,Or43b,Or43b,Or43b,Or43b,Ab8A; ab8,antenna,ab8,antenna,Ab8A,ab8A,ab8,antenna,ab8A,Orco,Orco,positive,Yes,No,No,No,"esters (e.g. ethyl butyrate), alcohols (e.g. Z2-hexenol)",fruity,ethyl butyrate,fruity,appetitive,FBbt_00003947,antennal lobe glomerulus VM2,"""antennal glomerulus VM2"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0.8),2 (0),positive,2,2 (0.9),,,Orco-GAL4; Orco-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM3,Or9a,Or9a,Or9a,Or9a,Or9a,Ab8B; ab8,antenna,ab8,antenna,Ab8B,ab8B,ab8,antenna,ab8B,Orco,Orco,positive,Yes,No,No,No,"esters (e.g. ethyl-3-hydroxybutyrate), alcohols (e.g. 2-pentanol), ketones (e.g. 3-hydroxy-2-butanone)",alcoholic_fermentation,"2,3-butanedione; acetoin",alcoholic_fermentation,aversive,FBbt_00003948,antennal lobe glomerulus VM3,"""antennal glomerulus VM3"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.5),2 (0.6),positive,2,2 (0.6),,,Orco-GAL4; Orco-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM4,Ir76a; Ir76a (co Ir76b + Ir25a),Ir76a/(Or35a),Ir76a,Ir76a (co Ir76b + Ir25a),Ir76a,Ac4; ac4A,antenna,ac4,antenna,Ac4,ac4A,ac4,antenna,,"Ir76b, Ir25a","Ir25a, Ir76b",negative,Yes,Yes,Yes,Yes,"phenylethylamine, ethylamine, ammonia",decaying_fruit,phenylathylamine,decaying_fruit,unclear,FBbt_00003957,antennal lobe glomerulus VM4,"""antennal glomerulus VM4"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,1 (0.5),1 (0.6),positive,1,1 (0.4),,,Orco-T2A-QF2; Ir8a-T2A-QF2; Ir76b-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM5d,"Or85b?, Or98b?; Or85b; Or85b+98b",Or85b/(Or85c),"Or85b?, Or98b?",Or85b,Or85b+98b,Ab3B; ab3,antenna,ab3; ab11,antenna,Ab3B,ab3B,ab3,antenna,ab3B; ab11B,Orco,Orco,positive,Yes,Variable,No,Yes,"2-heptanone, butyl acetate, pentyl acetate, 3-octanol",fruity,2-heptanone,fruity,appetitive,FBbt_00007391,antennal lobe glomerulus VM5d,"""antennal lobe glomerulus VM5 dorsal compartment"" EXACT []",,,negative,,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM5v,Or98a,Or98a,Or98a,Or98a,Or98a,Ab7A; ab7,antenna,ab7,antenna,Ab7A,ab7A,ab7,antenna,ab7A,Orco,Orco,positive,Yes,Yes,No,Yes,"esters (e.g. ethyl benzoate), alcohols (e.g. E2-hexenol), ketones (e.g. 6-methyl-5-hepten-2-one)",yeasty/fruity,isomayl acetate; isoamyl acetate; ethyl benzoate,yeasty; fruity,appetitive; unclear,FBbt_00007365,antennal lobe glomerulus VM5v,"""antennal lobe glomerulus VM5 ventral compartment"" EXACT [] | ""VM5v"" EXACT []",GH146-GAL4,Grabe 2015 Table S1,positive,5 (0.5)^b,,,,,,,Orco-GAL4; Orco-T2A-QF2; Ir8a-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM6,Rh50/Amt,Amt; Amt/(Or35a),,Rh50/Amt,,ac1/sacIII,antenna,ac1; sacIII-d; sacIII-v,antenna,,ac1/sacIII,,,ac1A,-,,negative,,,,,ammonia,decaying_fruit,ammonia,decaying_fruit,appetitive,FBbt_00110029,antennal lobe glomerulus VM6,"""adult antennal glomerulus VC5"" RELATED [FlyBase:FBrf0249560] | ""antennal glomerulus VM6"" EXACT [FlyBase:FBrf0246460] | ""VC5 and VM6"" RELATED [FlyBase:FBrf0246460] | ""VM6+VP1"" RELATED [FlyBase:FBrf0246460, FlyBase:FBrf0249560]",,,negative,,,,,,,,,direct,direct,direct,,,,direct,
VM6l*(new),"Rh50, Amt",,"Rh50, Amt",,,"Sacculus, Chamber III",antenna,,,"Sacculus, Chamber III",,,,,,,,No,Yes (strong),No,Yes,,,,,,,,,,,,,,,,,,,Ir25a-T2A-QF2,,,,,,direct,,
VM6m (new),"Rh50, Amt",,"Rh50, Amt",,,"Sacculus, Chamber III",antenna,,,"Sacculus, Chamber III",,,,,,,,No,Yes (weak),No,Yes,,,,,,,,,,,,,,,,,,,Ir25a-T2A-QF2,,,,,,direct,,
VM6v (VM6),"Rh50, Amt",,"Rh50, Amt",,,Ac1,antenna,,,Ac1,,,,,,,,No,Yes (weak),No,Yes,,,,,,,,,,,,,,,,,,,Ir25a-T2A-QF2,,,,,,direct,,
VM7d,Or42a,Or42a,Or42a,Or42a,Or42a,Pb1A; pb1,maxillary palp,pb1,maxillary palp,Pb1A,pb1,pb1,maxillary palp,pb1A,Orco,Orco,positive,Yes,No,No,Yes,"esters (e.g. ethyl butyrate), ketones (e.g. 5-hexen-3-one), gamma-hexalactone",alcoholic_fermentation/yeasty,acetal; ethyl acetate,alcoholic_fermentation; yeasty,appetitive,FBbt_00110028,antennal lobe glomerulus VM7d,"""antennal lobe glomerulus VM7 dorsal compartment"" EXACT [] | ""VM7d"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,2 (0.8),3 (0.4),positive,3,3 (0.8),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VM7v,Or59c,Or59c,Or59c,Or59c,Or59c,Pb3A; pb3,maxillary palp,pb3,maxillary palp,Pb3A,pb3,pb3,maxillary palp,pb3A,Orco,Orco,positive,Yes,No,No,Yes,butyl 3-hydroxybutyrate,fruity,ethyl butyrate,fruity,unclear,FBbt_00007092,antennal lobe glomerulus VM7v,"""antennal lobe glomerulus 1"" RELATED [FlyBase:FBrf0187305, FlyBase:FBrf0219809] | ""antennal lobe glomerulus VM7 ventral compartment"" EXACT [] | ""VM7v"" EXACT []",GH146-GAL4; ChAT-GAL4,Grabe 2015 Table S1; Grabe 2015 Table S2,positive,3 (0.8),2.5 (1),positive,3,3 (0.9),,,Orco-GAL4; Orco-T2A-QF2; Ir25a-T2A-QF2,direct,direct,direct,direct,direct,alias:VM7v (1),direct,direct
VP1,Ir40a,,,,Ir40a,sacI,antenna,,,,,sacI,antenna,,,Ir25a,negative,,,,,,,,,,FBbt_00003927,antennal lobe glomerulus VP1,"""antennal glomerulus VP1"" EXACT [] | ""column glomerulus"" EXACT [FlyBase:FBrf0236232]",,,negative,,,,,,,,,direct,,,direct,direct,,,
VP1d,"Ir40a, Ir93a; Ir40a (co Ir25a)",Ir40a,"Ir40a, Ir93a",Ir40a (co Ir25a),,"Sacculus, Chamber II; sacII",antenna,sacII,antenna,"Sacculus, Chamber II",sacII,,,,"Ir93a, Ir25a",,,No,No,No,Yes,evaporative cooling?,thermo_hygro,evaporation?,thermo_hygro,unclear,FBbt_00049639,antennal lobe glomerulus VP1d,"""adult antennal lobe dorsal VP1 glomerulus"" EXACT []",,,,,,,,,,,Ir25a-T2A-QF2,,direct,direct,,,direct,direct,direct
VP1l,"Ir21a, Ir93a; Ir21a, (co Ir25a)",Ir21a,"Ir21a, Ir93a","Ir21a, (co Ir25a)",,"Sacculus, Chamber I; sacI",antenna,sacI,antenna,"Sacculus, Chamber I",sacI,,,,"Ir93a, Ir25a",,,No,No,No,Yes,cooling?,thermo_hygro,cool,thermo_hygro,unclear,FBbt_00049640,antennal lobe glomerulus VP1l,"""adult antennal lobe lateral VP1 glomerulus"" EXACT []",,,,,,,,,,,Ir25a-T2A-QF2,,direct,direct,,,direct,direct,direct
VP1m,"Ir68a, Ir93a; Ir68a (co Ir25a? unclear)",Ir68a,"Ir68a, Ir93a",Ir68a (co Ir25a? unclear),,"Sacculus, Chamber I; sacI",antenna,sacI,antenna,"Sacculus, Chamber I",sacI,,,,"Ir93a, Ir25a",,,No,No,No,Yes,humid air?,thermo_hygro,humid,thermo_hygro,unclear,FBbt_00049641,antennal lobe glomerulus VP1m,"""adult antennal lobe medial VP1 glomerulus"" EXACT []",,,,,,,,,,,Ir25a-T2A-QF2,,direct,direct,,,direct,direct,direct
VP2,"Gr28b.d, Ir93a; Gr28b, (co Ir25a)",Gr28b.d,"Gr28b.d, Ir93a","Gr28b, (co Ir25a)",,Arista,arista,arista,arista,Arista,arista,,,arB,-,,negative,No,No,No,Yes,heating,thermo_hygro,heating,thermo_hygro,unclear,FBbt_00003928,antennal lobe glomerulus VP2,"""antennal glomerulus VP2"" EXACT [] | ""hot glomerulus"" EXACT [FlyBase:FBrf0236232] | ""medial PAP"" EXACT [FlyBase:FBrf0213085] | ""medial proximal antennal protocerebrum"" EXACT [FlyBase:FBrf0213085] | ""PAL"" BROAD [FlyBase:FBrf0227880] | ""posterior antennal lobe"" BROAD [FlyBase:FBrf0227880] | ""VP2"" EXACT [FlyBase:FBrf0051437]",ChAT-GAL4,Grabe 2015 Table S2,unknown,,,positive,3,,,,Ir25a-T2A-QF2,direct,direct,direct,,,direct,direct,direct
VP3,"Ir21a, Ir93a; Ir21a, (co Ir25a)",Ir21a,"Ir21a, Ir93a","Ir21a, (co Ir25a)",,Arista,arista,arista,arista,Arista,arista,,,arA,"Ir93a, Ir25a",,negative,No,No,No,Yes,cooling,thermo_hygro,cooling,thermo_hygro,unclear,FBbt_00003929,antennal lobe glomerulus VP3,"""antennal glomerulus VP3"" EXACT [] | ""cold glomerulus"" EXACT [FlyBase:FBrf0236232] | ""lateral PAP"" EXACT [FlyBase:FBrf0213085] | ""lateral proximal antennal protocerebrum"" EXACT [FlyBase:FBrf0213085] | ""PAL"" BROAD [FlyBase:FBrf0227880] | ""posterior antennal lobe"" BROAD [FlyBase:FBrf0227880] | ""VP3"" EXACT [FlyBase:FBrf0051437]",ChAT-GAL4,Grabe 2015 Table S2,unknown,,,positive,3,,,,Ir25a-T2A-QF2,direct,direct,direct,,,direct,direct,direct
VP4,"Ir40a, Ir93a; Ir40a (co Ir25a); Ir40a",Ir40a,"Ir40a, Ir93a",Ir40a (co Ir25a),Ir40a,"Sacculus, Chambers I + II; sacI and sacII; sacI",antenna,sacI; sacII,antenna,"Sacculus, Chambers I + II",sacI and sacII,sacI,antenna,,"Ir93a, Ir25a",Ir25a,negative,No,No,No,Yes,dry air,thermo_hygro,dry air,thermo_hygro,unclear,FBbt_00110865,antennal lobe glomerulus VP4,"""antennal glomerulus VP4"" EXACT [] | ""arm glomerulus"" EXACT [FlyBase:FBrf0236232] | ""dry glomerulus"" EXACT [FlyBase:FBrf0236232] | ""dry-air glomerulus"" EXACT [FlyBase:FBrf0236232]",,,negative,,,,,,,,Ir25a-T2A-QF2,direct,direct,direct,direct,direct,direct,direct,direct
VP5,"Ir68a, Ir93a; Ir68a (co Ir25a? unclear)",Ir68a,"Ir68a, Ir93a",Ir68a (co Ir25a? unclear),,"Sacculus, Chamber II; sacII",antenna,sacII,antenna,"Sacculus, Chamber II",sacII,,,,"Ir93a, Ir25a",,,No,No,No,Yes,humid air,thermo_hygro,moist air,thermo_hygro,unclear,FBbt_00047223,antennal lobe glomerulus VP5,"""antennal glomerulus VP5"" EXACT [] | ""bean glomerulus"" EXACT [FlyBase:FBrf0236232] | ""humid glomerulus"" EXACT [FlyBase:FBrf0236232] | ""humid-air glomerulus"" EXACT [FlyBase:FBrf0236232] | ""humidity glomerulus"" EXACT [FlyBase:FBrf0236232]",,,,,,,,,,,Ir25a-T2A-QF2,,direct,direct,,,direct,direct,direct
